ticker,isin,localcurrency,localprice,convertedprice,currencyfactor
"BTU US Equity",US7045491047,USD,7,7,1
"LANC US Equity",US5138471033,USD,91.78,91.78,1
"SXT US Equity",US81725T1007,USD,58.79,58.79,1
"AOL US Equity",US00184X1054,USD,44.74,44.74,1
"JBL US Equity",US4663131039,USD,21.27,21.27,1
"TER US Equity",US8807701029,USD,19.33,19.33,1
"INGR US Equity",US4571871023,USD,83,83,1
"SLXP US Equity",US7954351067,USD,112.84,112.84,1
"CBST US Equity",US2296781071,USD,100.68,100.68,1
"ENDP US Equity",IE00BJ3V9050,USD,71.97,71.97,1
"WCG US Equity",US94946T1060,USD,79.07,79.07,1
"HNT US Equity",US42222G1085,USD,52,52,1
"CNC US Equity",US15135B1017,USD,104.16,104.16,1
"OCR US Equity",US6819041087,USD,72.5,72.5,1
"PLCM US Equity",US73172K1043,USD,13.08,13.08,1
"DWA US Equity",US26153C1036,USD,22.17,22.17,1
"PLT US Equity",US7274931085,USD,51.16,51.16,1
"PNM US Equity",US69349H1077,USD,29.61,29.61,1
"CAKE US Equity",US1630721017,USD,50.2,50.2,1
"TECH US Equity",US09073M1045,USD,90.34,90.34,1
"EAT US Equity",US1096411004,USD,58.39,58.39,1
"AMCX US Equity",US00164V1035,USD,62.7,62.7,1
"ODP US Equity",US6762201068,USD,8.3,8.3,1
"HII US Equity",US4464131063,USD,110.23,110.23,1
"OII US Equity",US6752321025,USD,56.96,56.96,1
"WSM US Equity",US9699041011,USD,74.49,74.49,1
"ENR US Equity",US29266R1086,USD,127.77,127.77,1
"JAH US Equity",US4711091086,USD,46.85,46.85,1
"CHD US Equity",US1713401024,USD,78.21,78.21,1
"ASNA US Equity",US04351G1013,USD,12,12,1
"ALEX US Equity",US0144911049,USD,39.61,39.61,1
"JCP US Equity",US7081601061,USD,6.44,6.44,1
"DECK US Equity",US2435371073,USD,89.06,89.06,1
"BDC US Equity",US0774541066,USD,78.57,78.57,1
"JBLU US Equity",US4771431016,USD,15.22,15.22,1
"GWR US Equity",US3715591059,USD,86,86,1
"SUNE US Equity",US86732Y1091,USD,18.73,18.73,1
"HUB/B US Equity",US4435102011,USD,104.58,104.58,1
"ALK US Equity",US0116591092,USD,59.47,59.47,1
"LKQ US Equity",US5018892084,USD,27.44,27.44,1
"HBI US Equity",US4103451021,USD,107.89,107.89,1
"AAP US Equity",US00751Y1064,USD,156.47,156.47,1
"DF US Equity",US2423702032,USD,18.75,18.75,1
"POST US Equity",US7374461041,USD,41.11,41.11,1
"AMD US Equity",US0079031078,USD,2.66,2.66,1
"FICO US Equity",US3032501047,USD,71.36,71.36,1
"CRC US Equity",US13057Q1076,USD,5,5,1
"KBR US Equity",US48242W1062,USD,16.52,16.52,1
"CMP US Equity",US20451N1019,USD,86.69,86.69,1
"BID US Equity",US8358981079,USD,42.1,42.1,1
"TEX US Equity",US8807791038,USD,26.61,26.61,1
"WEN US Equity",US95058W1009,USD,8.97,8.97,1
"IDA US Equity",US4511071064,USD,65.61,65.61,1
"ATML US Equity",US0495131049,USD,8.15,8.15,1
"THS US Equity",US89469A1043,USD,85.62,85.62,1
"GPOR US Equity",US4026353049,USD,40.86,40.86,1
"FLO US Equity",US3434981011,USD,18.91,18.91,1
"AGCO US Equity",US0010841023,USD,42.95,42.95,1
"GXP US Equity",US3911641005,USD,28.27,28.27,1
"PNRA US Equity",US69840W1080,USD,172.26,172.26,1
"DPZ US Equity",US25754A2015,USD,95.47,95.47,1
"CBOE US Equity",US12503M1080,USD,65.38,65.38,1
"BR US Equity",US11133T1034,USD,44.92,44.92,1
"HAIN US Equity",US4052171000,USD,55.54,55.54,1
"WWAV US Equity",US9662441057,USD,34.47,34.47,1
"ROVI US Equity",US7793761021,USD,22.15,22.15,1
"MENT US Equity",US5872001061,USD,21.48,21.48,1
"NATI US Equity",US6365181022,USD,30.54,30.54,1
"PTC US Equity",US69370C1009,USD,35.36,35.36,1
"CDNS US Equity",US1273871087,USD,18.4,18.4,1
"SNPS US Equity",US8716071076,USD,42.54,42.54,1
"ANSS US Equity",US03662Q1058,USD,80.86,80.86,1
"OMI US Equity",US6907321029,USD,34.91,34.91,1
"HSIC US Equity",US8064071025,USD,135.61,135.61,1
"CLF US Equity",US18683K1016,USD,6.52,6.52,1
"PCH US Equity",US7376301039,USD,42.11,42.11,1
"CIEN US Equity",US1717793095,USD,19.54,19.54,1
"SAIC US Equity",US8086251076,USD,49.37,49.37,1
"LPX US Equity",US5463471053,USD,16.19,16.19,1
"THO US Equity",US8851601018,USD,55.22,55.22,1
"CRL US Equity",US1598641074,USD,64.38,64.38,1
"LDOS US Equity",US5253271028,USD,42.46,42.46,1
"JDSU US Equity",US46612J5074,USD,13.67,13.67,1
"SLH US Equity",US83421A1043,USD,49.66,49.66,1
"OSK US Equity",US6882392011,USD,46.83,46.83,1
"RGLD US Equity",US7802871084,USD,65.85,65.85,1
"IGT US Equity",US4599021023,USD,17.16,17.16,1
"ARRS US Equity",US04270V1061,USD,29.7,29.7,1
"TRN US Equity",US8965221091,USD,27.14,27.14,1
"ALGN US Equity",US0162551016,USD,56.99,56.99,1
"BC US Equity",US1170431092,USD,50.66,50.66,1
"ROL US Equity",US7757111049,USD,32.42,32.42,1
"FTNT US Equity",US34959E1091,USD,30.52,30.52,1
"SIRO US Equity",US82966C1036,USD,87.05,87.05,1
"CVD US Equity",US2228161004,USD,105,105,1
"CDK US Equity",US12508E1010,USD,39.82,39.82,1
"OGE US Equity",US6708371033,USD,35.2,35.2,1
"LNT US Equity",US0188021085,USD,65.69,65.69,1
"RMD US Equity",US7611521078,USD,57.06,57.06,1
"ASB US Equity",US0454871056,USD,17.81,17.81,1
"SNV US Equity",US87161C5013,USD,26.17,26.17,1
"CYN US Equity",US1785661059,USD,77.68,77.68,1
"CFR US Equity",US2298991090,USD,67.5,67.5,1
"AF US Equity",US0462651045,USD,13,13,1
"BXS US Equity",US0596921033,USD,21.45,21.45,1
"WAFD US Equity",US9388241096,USD,21.53,21.53,1
"BOH US Equity",US0625401098,USD,56.91,56.91,1
"TCB US Equity",US8722751026,USD,15.28,15.28,1
"FMER US Equity",US3379151026,USD,18.17,18.17,1
"SLM US Equity",US78442P1066,USD,9.97,9.97,1
"HBHC US Equity",US4101201097,USD,28.78,28.78,1
"MDC US Equity",US5526761086,USD,26.01,26.01,1
"KBH US Equity",US48666K1097,USD,16.09,16.09,1
"NVR US Equity",US62944T1051,USD,1254.99,1254.99,1
"TOL US Equity",US8894781033,USD,34.38,34.38,1
"GVA US Equity",US3873281071,USD,36.8,36.8,1
"ACM US Equity",US00766T1007,USD,29.02,29.02,1
"ISCA US Equity",US4603352018,USD,31.19,31.19,1
"LTM US Equity",US53217R2076,USD,55.13,55.13,1
"CXW US Equity",US22025Y4070,USD,37.13,37.13,1
"SCI US Equity",US8175651046,USD,22.29,22.29,1
"LYV US Equity",US5380341090,USD,25.56,25.56,1
"HME US Equity",US4373061039,USD,66.91,66.91,1
"ACC US Equity",US0248351001,USD,42.34,42.34,1
"MAA US Equity",US59522J1034,USD,75.86,75.86,1
"CPT US Equity",US1331311027,USD,74.95,74.95,1
"EXR US Equity",US30225T1025,USD,60.24,60.24,1
"UDR US Equity",US9026531049,USD,31.7,31.7,1
"IBOC US Equity",US4590441030,USD,25.25,25.25,1
"CATY US Equity",US1491501045,USD,24.74,24.74,1
"UMPQ US Equity",US9042141039,USD,16.39,16.39,1
"SIVB US Equity",US78486Q1013,USD,111.93,111.93,1
"SBNY US Equity",US82669G1040,USD,121.81,121.81,1
"AHL US Equity",BMG053841059,USD,42.97,42.97,1
"RNR US Equity",BMG7496G1033,USD,95.44,95.44,1
"RGA US Equity",US7593516047,USD,85.63,85.63,1
"COO US Equity",US2166484020,USD,159.37,159.37,1
"PII US Equity",US7310681025,USD,147.65,147.65,1
"NSR US Equity",US64126X2018,USD,27,27,1
"SLAB US Equity",US8269191024,USD,46.49,46.49,1
"IDCC US Equity",US45867G1013,USD,51.6,51.6,1
"HSNI US Equity",US4043031099,USD,74.12,74.12,1
"CNK US Equity",US17243V1026,USD,34.33,34.33,1
"BIL US Equity",US78464A6800,USD,45.74,45.74,1
"CPRT US Equity",US2172041061,USD,36.22,36.22,1
"RAX US Equity",US7500861007,USD,47.14,47.14,1
"EQIX US Equity",US29444U5020,USD,224.32,224.32,1
"ACXM US Equity",US0051251090,USD,19.42,19.42,1
"LPNT US Equity",US53219L1098,USD,70.19,70.19,1
"WOOF US Equity",US9181941017,USD,47.73,47.73,1
"BMR US Equity",US09063H1077,USD,22.18,22.18,1
"SNH US Equity",US81721M1099,USD,22.65,22.65,1
"OHI US Equity",US6819361006,USD,41.08,41.08,1
"CYH US Equity",US2036681086,USD,52.13,52.13,1
"ARE US Equity",US0152711091,USD,90.87,90.87,1
"MD US Equity",US58502B1061,USD,65.7,65.7,1
"ANN US Equity",US0356231078,USD,35.16,35.16,1
"CHS US Equity",US1686151028,USD,16.09,16.09,1
"AEO US Equity",US02553E1064,USD,13.9,13.9,1
"TKR US Equity",US8873891043,USD,41.43,41.43,1
"CRI US Equity",US1462291097,USD,84.37,84.37,1
